# y+ ()       
# Time        	patch         	min           	max           	average       
36.6          	bodyWall	4.182678e-02	4.280230e+00	1.498559e+00
36.9          	bodyWall	8.430696e-02	4.238124e+00	1.398149e+00
37.2          	bodyWall	9.052179e-02	4.205164e+00	1.317075e+00
37.5          	bodyWall	7.980439e-02	4.203004e+00	1.272456e+00
37.8          	bodyWall	6.144827e-02	4.230721e+00	1.246892e+00
38.1          	bodyWall	1.021560e-01	4.278791e+00	1.230150e+00
38.4          	bodyWall	1.333637e-01	4.336711e+00	1.220268e+00
38.7          	bodyWall	1.089981e-01	4.422063e+00	1.286522e+00
39            	bodyWall	8.260703e-02	4.500907e+00	1.385036e+00
39.3          	bodyWall	7.581813e-02	4.599578e+00	1.472592e+00
39.6          	bodyWall	1.291835e-01	4.879614e+00	1.657615e+00
39.9          	bodyWall	4.944181e-02	5.767496e+00	2.017830e+00
40.2          	bodyWall	5.589089e-02	6.000804e+00	2.138777e+00
40.5          	bodyWall	5.696596e-02	5.902273e+00	2.150327e+00
40.8          	bodyWall	2.763282e-02	5.476648e+00	2.100152e+00
41.1          	bodyWall	9.148431e-02	4.957400e+00	1.977268e+00
41.4          	bodyWall	6.896075e-02	4.847818e+00	1.712576e+00
41.7          	bodyWall	2.818269e-02	4.736857e+00	1.587924e+00
42            	bodyWall	7.378839e-02	4.615077e+00	1.523077e+00
42.3          	bodyWall	7.733220e-02	4.536271e+00	1.532109e+00
42.6          	bodyWall	7.263350e-02	4.483584e+00	1.421774e+00
42.9          	bodyWall	5.950255e-02	4.437439e+00	1.318162e+00
43.2          	bodyWall	4.199867e-02	4.404818e+00	1.302943e+00
43.5          	bodyWall	4.479973e-02	4.392194e+00	1.285155e+00
43.8          	bodyWall	5.878054e-02	4.391075e+00	1.263027e+00
44.1          	bodyWall	9.456635e-02	4.405099e+00	1.248902e+00
44.4          	bodyWall	8.622129e-02	4.433415e+00	1.229055e+00
44.7          	bodyWall	1.009786e-01	4.468383e+00	1.258408e+00
45            	bodyWall	1.145258e-01	4.504373e+00	1.366730e+00
45.3          	bodyWall	5.960221e-02	4.547634e+00	1.457111e+00
45.6          	bodyWall	1.458035e-01	4.923332e+00	1.668172e+00
45.9          	bodyWall	3.519770e-02	5.908432e+00	2.038636e+00
46.2          	bodyWall	6.366240e-02	6.279641e+00	2.183041e+00
46.5          	bodyWall	6.071918e-02	6.324903e+00	2.211221e+00
46.8          	bodyWall	1.318341e-01	6.053999e+00	2.181801e+00
47.1          	bodyWall	1.164534e-01	5.313036e+00	2.080761e+00
47.4          	bodyWall	8.164088e-02	4.953418e+00	1.817762e+00
47.7          	bodyWall	1.826642e-01	4.726802e+00	1.550200e+00
48            	bodyWall	1.415150e-01	4.538020e+00	1.451399e+00
48.3          	bodyWall	9.884440e-02	4.449145e+00	1.544830e+00
48.6          	bodyWall	4.025283e-02	4.417875e+00	1.484684e+00
48.9          	bodyWall	9.423070e-02	4.366763e+00	1.352850e+00
49.2          	bodyWall	6.505790e-02	4.287006e+00	1.308684e+00
49.5          	bodyWall	3.117506e-02	4.256447e+00	1.256915e+00
49.8          	bodyWall	5.345594e-02	4.306221e+00	1.247582e+00
50.1          	bodyWall	7.902991e-02	4.364749e+00	1.258196e+00
50.4          	bodyWall	6.950638e-02	4.431103e+00	1.276582e+00
50.7          	bodyWall	1.315532e-01	4.494812e+00	1.386154e+00
51            	bodyWall	8.365323e-02	4.611491e+00	1.498874e+00
51.3          	bodyWall	1.209511e-01	4.726939e+00	1.684048e+00
51.6          	bodyWall	1.215498e-01	5.554466e+00	2.038064e+00
51.9          	bodyWall	4.793222e-02	6.003353e+00	2.182648e+00
52.2          	bodyWall	1.055817e-01	6.141833e+00	2.237753e+00
52.5          	bodyWall	1.062296e-01	6.007236e+00	2.218326e+00
52.8          	bodyWall	1.623582e-01	5.561227e+00	2.119956e+00
53.1          	bodyWall	8.590466e-02	5.115221e+00	1.947167e+00
53.4          	bodyWall	3.532964e-02	4.979144e+00	1.677540e+00
53.7          	bodyWall	1.058416e-01	4.792774e+00	1.452587e+00
54            	bodyWall	1.136615e-01	4.654585e+00	1.419170e+00
54.3          	bodyWall	1.160657e-01	4.563803e+00	1.344777e+00
54.6          	bodyWall	5.421136e-02	4.506947e+00	1.279656e+00
54.9          	bodyWall	3.599530e-02	4.481508e+00	1.286567e+00
55.2          	bodyWall	1.114951e-01	4.471936e+00	1.296346e+00
55.5          	bodyWall	1.672972e-01	4.460024e+00	1.292801e+00
55.8          	bodyWall	7.324861e-02	4.438906e+00	1.284561e+00
56.1          	bodyWall	1.289086e-01	4.425675e+00	1.284067e+00
56.4          	bodyWall	8.968128e-02	4.427348e+00	1.300333e+00
56.7          	bodyWall	6.641794e-02	4.461476e+00	1.369094e+00
57            	bodyWall	8.289865e-02	4.546004e+00	1.453279e+00
57.3          	bodyWall	4.643588e-02	4.687015e+00	1.519842e+00
57.6          	bodyWall	9.289705e-02	5.297572e+00	1.925834e+00
57.9          	bodyWall	2.531680e-02	6.292104e+00	2.183040e+00
58.2          	bodyWall	6.390778e-02	6.523784e+00	2.283135e+00
58.5          	bodyWall	6.819408e-02	6.377708e+00	2.264074e+00
58.8          	bodyWall	1.271440e-01	5.814601e+00	2.162362e+00
59.1          	bodyWall	8.479079e-02	4.952876e+00	1.973052e+00
59.4          	bodyWall	8.528336e-02	4.804043e+00	1.751821e+00
59.7          	bodyWall	1.894610e-01	4.486425e+00	1.523277e+00
60            	bodyWall	1.621880e-01	4.358780e+00	1.472701e+00
60.3          	bodyWall	9.556988e-02	4.330303e+00	1.396264e+00
60.6          	bodyWall	6.101057e-02	4.336860e+00	1.364546e+00
60.9          	bodyWall	7.149194e-02	4.334973e+00	1.329972e+00
61.2          	bodyWall	4.946615e-02	4.316183e+00	1.272539e+00
61.5          	bodyWall	2.455561e-02	4.297963e+00	1.223868e+00
61.8          	bodyWall	2.382686e-02	4.302596e+00	1.220249e+00
62.1          	bodyWall	5.084307e-02	4.352482e+00	1.260333e+00
62.4          	bodyWall	4.954501e-02	4.460146e+00	1.321317e+00
62.7          	bodyWall	3.487231e-02	4.585361e+00	1.421997e+00
63            	bodyWall	5.743895e-02	4.725285e+00	1.515998e+00
63.3          	bodyWall	9.054113e-02	5.021432e+00	1.696514e+00
63.6          	bodyWall	1.039184e-01	5.851721e+00	1.807457e+00
63.9          	bodyWall	9.952093e-02	6.150569e+00	2.089778e+00
64.2          	bodyWall	1.131753e-01	6.131609e+00	2.189463e+00
64.5          	bodyWall	1.183645e-01	5.780254e+00	2.184383e+00
64.8          	bodyWall	1.531718e-01	5.037861e+00	2.064540e+00
