Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
584,12.264,0.00436757,2.70446e-05,-0.0319002,nan,nan,-0.0126893,2,1.764,0.05,2.66725,0.591499,0.591497,-0.0155555,-8.92245e-22,0.591701,-0.0155288,-8.92317e-22,0.591703,0.447437,-0.0190429,-3.68132e-22,0.447842,1,0
585,12.285,0.00426769,2.68002e-05,-0.0304874,nan,nan,-0.0123513,2,1.785,0.05,2.68118,0.587391,0.587388,-0.0156686,-2.41584e-21,0.587597,-0.015643,-2.41607e-21,0.587599,0.447305,-0.0183525,-9.64876e-22,0.447681,1,0
586,12.306,0.00417255,2.65128e-05,-0.0290543,nan,nan,-0.0120169,2,1.806,0.05,2.69521,0.583157,0.583154,-0.0161127,-1.96499e-21,0.583376,-0.0160882,-1.96519e-21,0.583378,0.447133,-0.0176584,-7.69349e-22,0.447482,1,0
587,12.327,0.00407982,2.62443e-05,-0.0276703,nan,nan,-0.0116775,2,1.827,0.05,2.70932,0.579102,0.579099,-0.0167702,-1.05993e-21,0.579341,-0.0167467,-1.06007e-21,0.579344,0.44692,-0.0169746,-3.8785e-22,0.447242,1,0
588,12.348,0.00398898,2.60079e-05,-0.0263483,nan,nan,-0.0113313,2,1.848,0.05,2.72353,0.575287,0.575284,-0.0176164,-9.7442e-23,0.575553,-0.0175938,-9.75347e-23,0.575556,0.446665,-0.0163039,2.06936e-23,0.446962,1,0
589,12.369,0.00391189,2.52387e-05,-0.0252816,nan,nan,-0.0110638,2,1.869,0.05,2.73782,0.572057,0.572054,-0.0171767,8.41322e-22,0.572312,-0.0171549,8.41288e-22,0.572314,0.44649,-0.0157669,4.16138e-22,0.446769,1,0
590,12.39,0.00384295,2.41882e-05,-0.0243232,nan,nan,-0.0108384,2,1.89,0.05,2.7522,0.569033,0.56903,-0.0161887,1.31176e-21,0.56926,-0.0161677,1.31177e-21,0.569263,0.446353,-0.0152875,6.092e-22,0.446614,1,0
591,12.411,0.00377609,2.31195e-05,-0.0233385,nan,nan,-0.0106172,2,1.911,0.05,2.76666,0.565878,0.565875,-0.0153884,9.50147e-22,0.566084,-0.0153681,9.50149e-22,0.566086,0.446198,-0.0147855,4.41264e-22,0.446443,1,0
592,12.432,0.00371086,2.20677e-05,-0.0223801,nan,nan,-0.010392,2,1.932,0.05,2.78121,0.562826,0.562823,-0.0147421,6.39664e-22,0.563016,-0.0147225,6.39665e-22,0.563018,0.446021,-0.0142911,2.97075e-22,0.44625,1,0
593,12.453,0.0036472,2.10321e-05,-0.0214469,nan,nan,-0.0101631,2,1.953,0.05,2.79584,0.559873,0.55987,-0.014244,3.78402e-22,0.560051,-0.0142251,3.78402e-22,0.560053,0.445824,-0.0138038,1.75744e-22,0.446037,1,0
