# y+ ()       
# Time        	patch         	min           	max           	average       
19.2          	bodyWall	6.471455e-02	3.018298e+00	9.331331e-01
19.2          	actuatorSlot_top	5.638947e-01	7.870249e-01	6.769967e-01
19.2          	actuatorSlot_bottom	5.639058e-01	7.869940e-01	6.769884e-01
19.5          	bodyWall	6.663941e-02	3.015593e+00	9.388902e-01
19.5          	actuatorSlot_top	5.628015e-01	7.883607e-01	6.771166e-01
19.5          	actuatorSlot_bottom	5.628244e-01	7.883565e-01	6.771268e-01
19.8          	bodyWall	5.283274e-02	3.013647e+00	9.442482e-01
19.8          	actuatorSlot_top	5.610777e-01	7.882186e-01	6.762078e-01
19.8          	actuatorSlot_bottom	5.611123e-01	7.882469e-01	6.762396e-01
20.1          	bodyWall	3.025808e-02	3.012846e+00	9.509861e-01
20.1          	actuatorSlot_top	5.588137e-01	7.863312e-01	6.741694e-01
20.1          	actuatorSlot_bottom	5.588578e-01	7.863964e-01	6.742239e-01
20.4          	bodyWall	7.114699e-03	3.013231e+00	9.655592e-01
20.4          	actuatorSlot_top	5.566704e-01	7.832852e-01	6.716265e-01
20.4          	actuatorSlot_bottom	5.567127e-01	7.833766e-01	6.716926e-01
20.7          	bodyWall	2.983710e-02	3.014480e+00	9.747006e-01
20.7          	actuatorSlot_top	5.550307e-01	7.798467e-01	6.691502e-01
20.7          	actuatorSlot_bottom	5.550626e-01	7.799500e-01	6.692164e-01
21            	bodyWall	6.325526e-02	3.016271e+00	9.829061e-01
21            	actuatorSlot_top	5.540416e-01	7.765514e-01	6.670853e-01
21            	actuatorSlot_bottom	5.540516e-01	7.766427e-01	6.671338e-01
21.3          	bodyWall	4.165719e-02	3.017911e+00	9.945862e-01
21.3          	actuatorSlot_top	5.541236e-01	7.745265e-01	6.662014e-01
21.3          	actuatorSlot_bottom	5.541140e-01	7.745914e-01	6.662270e-01
21.6          	bodyWall	6.988734e-02	3.018905e+00	9.894857e-01
21.6          	actuatorSlot_top	5.547898e-01	7.738970e-01	6.662815e-01
21.6          	actuatorSlot_bottom	5.547649e-01	7.739290e-01	6.662834e-01
21.9          	bodyWall	3.403313e-02	3.018970e+00	9.842828e-01
21.9          	actuatorSlot_top	5.558780e-01	7.746795e-01	6.672512e-01
21.9          	actuatorSlot_bottom	5.558457e-01	7.746806e-01	6.672349e-01
22.2          	bodyWall	7.925101e-02	3.017881e+00	9.823315e-01
22.2          	actuatorSlot_top	5.570382e-01	7.767436e-01	6.688552e-01
22.2          	actuatorSlot_bottom	5.570091e-01	7.767238e-01	6.688311e-01
22.5          	bodyWall	5.164228e-02	3.037528e+00	9.723313e-01
22.5          	actuatorSlot_top	5.580104e-01	7.796236e-01	6.707529e-01
22.5          	actuatorSlot_bottom	5.579859e-01	7.795874e-01	6.707231e-01
22.8          	bodyWall	4.494767e-02	3.164876e+00	9.620311e-01
22.8          	actuatorSlot_top	5.587781e-01	7.831429e-01	6.728694e-01
22.8          	actuatorSlot_bottom	5.587673e-01	7.831023e-01	6.728441e-01
23.1          	bodyWall	8.179153e-02	3.116871e+00	9.706482e-01
23.1          	actuatorSlot_top	5.592503e-01	7.870014e-01	6.750365e-01
23.1          	actuatorSlot_bottom	5.592559e-01	7.869618e-01	6.750191e-01
23.4          	bodyWall	9.286772e-02	3.004353e+00	9.735492e-01
23.4          	actuatorSlot_top	5.596226e-01	7.910783e-01	6.773000e-01
23.4          	actuatorSlot_bottom	5.596492e-01	7.910456e-01	6.772958e-01
23.7          	bodyWall	9.754127e-02	2.999093e+00	9.663520e-01
23.7          	actuatorSlot_top	5.598481e-01	7.956264e-01	6.797853e-01
23.7          	actuatorSlot_bottom	5.599011e-01	7.956098e-01	6.797998e-01
24            	bodyWall	9.094373e-02	2.993255e+00	9.817852e-01
24            	actuatorSlot_top	5.598302e-01	8.002441e-01	6.822557e-01
24            	actuatorSlot_bottom	5.599297e-01	8.002726e-01	6.823144e-01
24.3          	bodyWall	6.759113e-02	3.310248e+00	1.014550e+00
24.3          	actuatorSlot_top	5.592676e-01	8.042772e-01	6.842266e-01
24.3          	actuatorSlot_bottom	5.593926e-01	8.043539e-01	6.843210e-01
24.6          	bodyWall	2.754274e-02	3.471423e+00	1.074731e+00
24.6          	actuatorSlot_top	5.585876e-01	8.077967e-01	6.859338e-01
